# Written on  7Apr2024 at 17:13:11 
# Input file comment: Au
#  Kpt_idx  K_x (1/ang)       K_y (1/ang)        K_z (1/ang)       Energy (eV)
        16 -0.2510489498      0.2510489498       1.255244719       112.3452857    
        16 -0.2510489498      0.2510489498       1.255244719       115.1344868    
        16 -0.2510489498      0.2510489498       1.255244719       116.2025758    
        16 -0.2510489498      0.2510489498       1.255244719       117.4061284    
        16 -0.2510489498      0.2510489498       1.255244719       118.6879063    
        17   1.004195769      -1.004195769       0.000000000       99.86413128    
        17   1.004195769      -1.004195769       0.000000000       100.5694027    
        17   1.004195769      -1.004195769       0.000000000       102.2126930    
        17   1.004195769      -1.004195769       0.000000000       104.2807595    
        17   1.004195769      -1.004195769       0.000000000       104.7006470    
        17   1.004195769      -1.004195769       0.000000000       106.5087792    
        17   1.004195769      -1.004195769       0.000000000       110.0654310    
        17   1.004195769      -1.004195769       0.000000000       113.3974052    
        17   1.004195769      -1.004195769       0.000000000       114.6654179    
        17   1.004195769      -1.004195769       0.000000000       118.9179838    
        18  0.7531468343     -0.7531468343      0.2510489347       98.65802690    
        18  0.7531468343     -0.7531468343      0.2510489347       100.8752996    
        18  0.7531468343     -0.7531468343      0.2510489347       102.7138929    
        18  0.7531468343     -0.7531468343      0.2510489347       104.0142664    
        18  0.7531468343     -0.7531468343      0.2510489347       108.2576985    
        18  0.7531468343     -0.7531468343      0.2510489347       112.2158242    
        18  0.7531468343     -0.7531468343      0.2510489347       112.8879596    
        18  0.7531468343     -0.7531468343      0.2510489347       114.9196118    
        18  0.7531468343     -0.7531468343      0.2510489347       117.2717404    
        18  0.7531468343     -0.7531468343      0.2510489347       118.2384638    
        19  0.7531468343     -0.7531468343      0.7531468343       99.01052996    
        19  0.7531468343     -0.7531468343      0.7531468343       99.37669919    
        19  0.7531468343     -0.7531468343      0.7531468343       108.9843301    
        19  0.7531468343     -0.7531468343      0.7531468343       109.3944961    
        19  0.7531468343     -0.7531468343      0.7531468343       110.3214325    
        19  0.7531468343     -0.7531468343      0.7531468343       110.7291676    
        19  0.7531468343     -0.7531468343      0.7531468343       111.1387759    
        19  0.7531468343     -0.7531468343      0.7531468343       111.2405034    
        19  0.7531468343     -0.7531468343      0.7531468343       113.4395911    
        19  0.7531468343     -0.7531468343      0.7531468343       115.1472461    
        20  0.5020978845     -0.5020978845       1.004195784       105.4685066    
        20  0.5020978845     -0.5020978845       1.004195784       106.8517031    
        20  0.5020978845     -0.5020978845       1.004195784       107.8432209    
        20  0.5020978845     -0.5020978845       1.004195784       108.6057382    
        20  0.5020978845     -0.5020978845       1.004195784       109.3430087    
        20  0.5020978845     -0.5020978845       1.004195784       110.5662101    
        20  0.5020978845     -0.5020978845       1.004195784       113.4876992    
        20  0.5020978845     -0.5020978845       1.004195784       114.5649528    
        20  0.5020978845     -0.5020978845       1.004195784       116.5579662    
        20  0.5020978845     -0.5020978845       1.004195784       118.5485634    
        21  0.2510489498     -0.2510489498       1.255244719       101.3347206    
        21  0.2510489498     -0.2510489498       1.255244719       103.9842833    
        21  0.2510489498     -0.2510489498       1.255244719       106.8353795    
        21  0.2510489498     -0.2510489498       1.255244719       109.3842981    
        21  0.2510489498     -0.2510489498       1.255244719       110.7056636    
        21  0.2510489498     -0.2510489498       1.255244719       111.7760701    
        21  0.2510489498     -0.2510489498       1.255244719       114.5492645    
        21  0.2510489498     -0.2510489498       1.255244719       116.1145464    
        21  0.2510489498     -0.2510489498       1.255244719       117.0798235    
        21  0.2510489498     -0.2510489498       1.255244719       118.7352718    
        22   0.000000000       0.000000000       1.506293669       107.7685541    
        22   0.000000000       0.000000000       1.506293669       108.1424864    
        22   0.000000000       0.000000000       1.506293669       108.3731703    
        22   0.000000000       0.000000000       1.506293669       109.0957564    
        22   0.000000000       0.000000000       1.506293669       109.9978094    
        22   0.000000000       0.000000000       1.506293669       110.0320111    
        22   0.000000000       0.000000000       1.506293669       111.3407056    
        22   0.000000000       0.000000000       1.506293669       111.3940058    
        22   0.000000000       0.000000000       1.506293669       113.7075294    
        22   0.000000000       0.000000000       1.506293669       113.7265019    
        23   1.255244719      -1.255244719      0.2510489498       101.6546073    
        23   1.255244719      -1.255244719      0.2510489498       104.1912726    
        23   1.255244719      -1.255244719      0.2510489498       106.4491679    
        23   1.255244719      -1.255244719      0.2510489498       109.3443725    
        23   1.255244719      -1.255244719      0.2510489498       110.4965741    
        23   1.255244719      -1.255244719      0.2510489498       112.3384950    
        23   1.255244719      -1.255244719      0.2510489498       115.0873671    
        23   1.255244719      -1.255244719      0.2510489498       116.2099783    
        23   1.255244719      -1.255244719      0.2510489498       117.4616381    
        23   1.255244719      -1.255244719      0.2510489498       118.6968994    
        24   1.004195784      -1.004195784      0.5020978845       100.7117296    
        24   1.004195784      -1.004195784      0.5020978845       105.7644259    
        24   1.004195784      -1.004195784      0.5020978845       106.8249626    
        24   1.004195784      -1.004195784      0.5020978845       108.3892815    
        24   1.004195784      -1.004195784      0.5020978845       108.9537782    
        24   1.004195784      -1.004195784      0.5020978845       109.8967295    
        24   1.004195784      -1.004195784      0.5020978845       110.8625916    
        24   1.004195784      -1.004195784      0.5020978845       114.0586121    
        24   1.004195784      -1.004195784      0.5020978845       117.0512810    
        24   1.004195784      -1.004195784      0.5020978845       118.5147431    
        25 -0.5020978845      0.5020978845     -0.5020978845       101.3011197    
        25 -0.5020978845      0.5020978845     -0.5020978845       102.3861708    
        25 -0.5020978845      0.5020978845     -0.5020978845       103.0624751    
        25 -0.5020978845      0.5020978845     -0.5020978845       103.5868082    
        25 -0.5020978845      0.5020978845     -0.5020978845       105.4920821    
        25 -0.5020978845      0.5020978845     -0.5020978845       105.6138065    
        25 -0.5020978845      0.5020978845     -0.5020978845       106.6992505    
        25 -0.5020978845      0.5020978845     -0.5020978845       113.0378793    
        25 -0.5020978845      0.5020978845     -0.5020978845       117.2423550    
        25 -0.5020978845      0.5020978845     -0.5020978845       117.4111426    
        26 -0.7531468343      0.7531468343     -0.2510489347       98.80314880    
        26 -0.7531468343      0.7531468343     -0.2510489347       100.9636701    
        26 -0.7531468343      0.7531468343     -0.2510489347       102.7411861    
        26 -0.7531468343      0.7531468343     -0.2510489347       104.0537365    
        26 -0.7531468343      0.7531468343     -0.2510489347       108.2872825    
        26 -0.7531468343      0.7531468343     -0.2510489347       112.7800482    
        26 -0.7531468343      0.7531468343     -0.2510489347       114.8044765    
        26 -0.7531468343      0.7531468343     -0.2510489347       116.7095532    
        26 -0.7531468343      0.7531468343     -0.2510489347       117.2400956    
        26 -0.7531468343      0.7531468343     -0.2510489347       117.9161833    
        27  -1.004195769       1.004195769       0.000000000       100.5035261    
        27  -1.004195769       1.004195769       0.000000000       100.6609653    
        27  -1.004195769       1.004195769       0.000000000       101.7837380    
        27  -1.004195769       1.004195769       0.000000000       102.2052434    
        27  -1.004195769       1.004195769       0.000000000       104.3694388    
        27  -1.004195769       1.004195769       0.000000000       106.4452916    
        27  -1.004195769       1.004195769       0.000000000       110.3874759    
        27  -1.004195769       1.004195769       0.000000000       111.9853509    
        27  -1.004195769       1.004195769       0.000000000       113.4391191    
        27  -1.004195769       1.004195769       0.000000000       115.0689908    
        28  -1.255244719       1.255244719      0.2510489498       101.3362346    
        28  -1.255244719       1.255244719      0.2510489498       103.9548704    
        28  -1.255244719       1.255244719      0.2510489498       106.8438537    
        28  -1.255244719       1.255244719      0.2510489498       109.3490110    
        28  -1.255244719       1.255244719      0.2510489498       110.6544483    
        28  -1.255244719       1.255244719      0.2510489498       111.8117057    
        28  -1.255244719       1.255244719      0.2510489498       114.5433042    
        28  -1.255244719       1.255244719      0.2510489498       116.0269626    
        28  -1.255244719       1.255244719      0.2510489498       116.9154583    
        28  -1.255244719       1.255244719      0.2510489498       118.6991092    
        29   0.000000000       0.000000000      -1.004195769       99.94453293    
        29   0.000000000       0.000000000      -1.004195769       100.2050035    
        29   0.000000000       0.000000000      -1.004195769       100.5191839    
        29   0.000000000       0.000000000      -1.004195769       103.5169989    
        29   0.000000000       0.000000000      -1.004195769       103.6707108    
        29   0.000000000       0.000000000      -1.004195769       106.4295304    
        29   0.000000000       0.000000000      -1.004195769       114.8547727    
        29   0.000000000       0.000000000      -1.004195769       115.8754186    
        29   0.000000000       0.000000000      -1.004195769       118.2676024    
        29   0.000000000       0.000000000      -1.004195769       119.2137673    
        30 -0.2510489347      0.2510489347     -0.7531468343       101.2149373    
        30 -0.2510489347      0.2510489347     -0.7531468343       102.7000576    
        30 -0.2510489347      0.2510489347     -0.7531468343       103.3322097    
        30 -0.2510489347      0.2510489347     -0.7531468343       106.8035394    
        30 -0.2510489347      0.2510489347     -0.7531468343       110.3699180    
        30 -0.2510489347      0.2510489347     -0.7531468343       111.5910969    
        30 -0.2510489347      0.2510489347     -0.7531468343       113.4033977    
        30 -0.2510489347      0.2510489347     -0.7531468343       113.9521484    
        30 -0.2510489347      0.2510489347     -0.7531468343       116.8887347    
        30 -0.2510489347      0.2510489347     -0.7531468343       117.5291551    
        31 -0.2510489498      0.2510489498     -0.2510489498       95.26312317    
        31 -0.2510489498      0.2510489498     -0.2510489498       101.7338739    
        31 -0.2510489498      0.2510489498     -0.2510489498       102.3440847    
        31 -0.2510489498      0.2510489498     -0.2510489498       103.9483358    
        31 -0.2510489498      0.2510489498     -0.2510489498       111.8990044    
        31 -0.2510489498      0.2510489498     -0.2510489498       112.0332911    
        31 -0.2510489498      0.2510489498     -0.2510489498       114.0445736    
        31 -0.2510489498      0.2510489498     -0.2510489498       115.6423320    
        31 -0.2510489498      0.2510489498     -0.2510489498       118.3039044    
        31 -0.2510489498      0.2510489498     -0.2510489498       118.3893506    
        32 -0.5020978996      0.5020978996       0.000000000       101.9306547    
        32 -0.5020978996      0.5020978996       0.000000000       102.6974010    
        32 -0.5020978996      0.5020978996       0.000000000       105.2335938    
        32 -0.5020978996      0.5020978996       0.000000000       105.8344191    
        32 -0.5020978996      0.5020978996       0.000000000       105.8681091    
        32 -0.5020978996      0.5020978996       0.000000000       111.3148595    
        32 -0.5020978996      0.5020978996       0.000000000       113.2291179    
        32 -0.5020978996      0.5020978996       0.000000000       113.6518454    
        32 -0.5020978996      0.5020978996       0.000000000       116.3528010    
        32 -0.5020978996      0.5020978996       0.000000000       119.1041066    
        33 -0.7531468343      0.7531468343      0.2510489347       98.76914064    
        33 -0.7531468343      0.7531468343      0.2510489347       100.9473495    
        33 -0.7531468343      0.7531468343      0.2510489347       102.7373633    
        33 -0.7531468343      0.7531468343      0.2510489347       104.0387814    
        33 -0.7531468343      0.7531468343      0.2510489347       108.2952777    
        33 -0.7531468343      0.7531468343      0.2510489347       112.7827222    
        33 -0.7531468343      0.7531468343      0.2510489347       114.8156810    
        33 -0.7531468343      0.7531468343      0.2510489347       116.6832054    
        33 -0.7531468343      0.7531468343      0.2510489347       117.1995276    
        33 -0.7531468343      0.7531468343      0.2510489347       117.9192797    
        34  -1.004195784       1.004195784      0.5020978845       105.4556951    
        34  -1.004195784       1.004195784      0.5020978845       106.8525449    
        34  -1.004195784       1.004195784      0.5020978845       107.8455404    
        34  -1.004195784       1.004195784      0.5020978845       108.6207605    
        34  -1.004195784       1.004195784      0.5020978845       109.3375457    
        34  -1.004195784       1.004195784      0.5020978845       110.5834511    
        34  -1.004195784       1.004195784      0.5020978845       113.4858172    
        34  -1.004195784       1.004195784      0.5020978845       114.6346459    
        34  -1.004195784       1.004195784      0.5020978845       116.6612812    
        34  -1.004195784       1.004195784      0.5020978845       118.5489317    
        35  0.2510489347     -0.2510489347     -0.7531468343       101.0689730    
        35  0.2510489347     -0.2510489347     -0.7531468343       102.2059203    
        35  0.2510489347     -0.2510489347     -0.7531468343       103.1566371    
        35  0.2510489347     -0.2510489347     -0.7531468343       104.7766931    
        35  0.2510489347     -0.2510489347     -0.7531468343       109.8282569    
        35  0.2510489347     -0.2510489347     -0.7531468343       112.1410850    
        35  0.2510489347     -0.2510489347     -0.7531468343       112.8559286    
        35  0.2510489347     -0.2510489347     -0.7531468343       113.7360496    
        35  0.2510489347     -0.2510489347     -0.7531468343       117.0452002    
        35  0.2510489347     -0.2510489347     -0.7531468343       117.1555549    
        36   0.000000000       0.000000000     -0.5020978996       95.62372018    
        36   0.000000000       0.000000000     -0.5020978996       99.53971524    
        36   0.000000000       0.000000000     -0.5020978996       102.3521363    
        36   0.000000000       0.000000000     -0.5020978996       103.8834129    
        36   0.000000000       0.000000000     -0.5020978996       109.3335515    
        36   0.000000000       0.000000000     -0.5020978996       110.4821730    
        36   0.000000000       0.000000000     -0.5020978996       114.7989779    
        36   0.000000000       0.000000000     -0.5020978996       116.0486743    
        36   0.000000000       0.000000000     -0.5020978996       117.5604672    
        36   0.000000000       0.000000000     -0.5020978996       118.6582237    
        37  0.2510489498      0.2510489498     -0.2510489498       96.14541580    
        37  0.2510489498      0.2510489498     -0.2510489498       101.3513001    
        37  0.2510489498      0.2510489498     -0.2510489498       102.2253963    
        37  0.2510489498      0.2510489498     -0.2510489498       103.9849906    
        37  0.2510489498      0.2510489498     -0.2510489498       105.0777359    
        37  0.2510489498      0.2510489498     -0.2510489498       111.8490997    
        37  0.2510489498      0.2510489498     -0.2510489498       112.0877698    
        37  0.2510489498      0.2510489498     -0.2510489498       115.3747303    
        37  0.2510489498      0.2510489498     -0.2510489498       117.8740797    
        37  0.2510489498      0.2510489498     -0.2510489498       118.4133308    
        38   0.000000000      0.5020978996       0.000000000       95.53303976    
        38   0.000000000      0.5020978996       0.000000000       99.54845352    
        38   0.000000000      0.5020978996       0.000000000       102.3235030    
        38   0.000000000      0.5020978996       0.000000000       103.6861761    
        38   0.000000000      0.5020978996       0.000000000       107.6428922    
        38   0.000000000      0.5020978996       0.000000000       111.7104843    
        38   0.000000000      0.5020978996       0.000000000       115.5781892    
